condicion,asset,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate
ema20_toque,BNB,4,OOS,398,-0.0001319061801670579,0.5025125628140703,5.509272737854423e-05,0.4869445716903344
ema20_toque,BNB,8,IS,1389,3.5458533127472424e-05,0.47300215982721383,1.9070001896629316e-05,0.47871528837351235
ema20_toque,BNB,8,OOS,398,-0.00013821694593922762,0.4849246231155779,0.00026262555226286315,0.49174690508940855
ema20_toque,BNB,24,IS,1389,-0.0002412446470546866,0.4953203743700504,0.0002562524308176771,0.48519987793713765
ema20_toque,BNB,24,OOS,397,0.00043254947175022364,0.5113350125944585,0.0006663438968064481,0.4979291302346986
ema20_toque,BNB,72,IS,1389,-0.0009982055904356449,0.4895608351331893,-0.0007878473531033365,0.4857339029600244
ema20_toque,BNB,72,OOS,389,-0.0007586987565798636,0.4601542416452442,-0.0017588204492528115,0.46649604467194045
vwap_ruptura_alza,BNB,4,IS,1064,0.00035639042000312364,0.5206766917293233,8.373573831764305e-05,0.5203692401586817
vwap_ruptura_alza,BNB,4,OOS,340,0.0004909712479507549,0.5176470588235295,0.00016830012232247913,0.5068712780577187
vwap_ruptura_alza,BNB,8,IS,1064,0.0006390661473965166,0.543233082706767,0.00016203353152345024,0.5191486115349405
vwap_ruptura_alza,BNB,8,OOS,339,0.00039452062147058456,0.5368731563421829,0.0003442857266116368,0.5197157267308574
vwap_ruptura_alza,BNB,24,IS,1064,-0.00035712210599264015,0.5150375939849624,0.00045667808205598795,0.5216661580714068
vwap_ruptura_alza,BNB,24,OOS,335,0.0007249114700353008,0.5104477611940299,0.0011036485667066595,0.5324436263230556
vwap_ruptura_alza,BNB,72,IS,1064,0.002806965688730632,0.5319548872180451,0.0014433553553708203,0.528150747635032
vwap_ruptura_alza,BNB,72,OOS,335,0.0011716597243721938,0.5164179104477612,0.0030451661206450753,0.5486272684969753
vwap_ruptura_baja,BNB,4,IS,1064,0.0006167351467033448,0.5046992481203008,-8.373573831764305e-05,0.47963075984131825
vwap_ruptura_baja,BNB,4,OOS,353,-3.475343870196055e-05,0.49291784702549574,-0.00016830012232247913,0.49221255153458543
