condicion,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate,edge,edge_neto_costo
poc_zona,4,OOS,586.0,0.0007140287818983416,0.5273037542662116,0.00016035457981770646,0.4886971390347683,0.0005536742020806351,-0.00044632579791936493
poc_zona,8,IS,1403.0,0.00028611524379932104,0.5131860299358517,0.00019883974100066585,0.5058736164238056,8.727550279865519e-05,-0.0009127244972013448
poc_zona,8,OOS,586.0,0.0015923056801569972,0.5119453924914675,0.0003241507290651246,0.49407625429911917,0.0012681549510918724,0.0002681549510918724
poc_zona,24,IS,1403.0,5.804086305742156e-05,0.5146115466856735,0.0005716607692492765,0.49905812332530947,-0.0005136199061918549,-0.001513619906191855
poc_zona,24,OOS,583.0,0.0031814721441016987,0.5608919382504288,0.0010730888754279658,0.49969488531538653,0.0021083832686737327,0.0011083832686737327
poc_zona,72,IS,1403.0,0.0026502171503350476,0.4953670705630791,0.0019433272899789418,0.4990250908346692,0.0007068898603561058,-0.0002931101396438942
poc_zona,72,OOS,580.0,0.011217358562298099,0.5879310344827586,0.0028162645725640385,0.4995647635362937,0.00840109398973406,0.00740109398973406
rsi_sobrecompra,4,IS,1171.0,-0.002316082138874398,0.48590947907771137,-0.00010509013184505363,0.49382273510301744,-0.0022109920070293447,-0.0032109920070293447
rsi_sobrecompra,4,OOS,381.0,-0.0007381910250588904,0.5800524934383202,-0.00017191982146412923,0.5058707610159755,-0.0005662712035947612,-0.0015662712035947612
rsi_sobrecompra,8,IS,1171.0,-0.0038147299594520592,0.48761742100768574,-0.0002091299341402317,0.49540912284942973,-0.0036056000253118278,-0.004605600025311828
rsi_sobrecompra,8,OOS,381.0,-0.0018802714146678133,0.5485564304461942,-0.0003472235906655851,0.5009342201432696,-0.0015330478240022283,-0.0025330478240022285
rsi_sobrecompra,24,IS,1171.0,-0.00842936908358668,0.46968403074295473,-0.0006034216153414682,0.5031716409866152,-0.007825947468245211,-0.00882594746824521
rsi_sobrecompra,24,OOS,381.0,-0.004336739379638452,0.5433070866141733,-0.0011421376091407091,0.49542811265044606,-0.003194601770497743,-0.004194601770497743
rsi_sobrecompra,72,IS,1171.0,-0.009840052005871902,0.49701110162254486,-0.002042148630108776,0.5037724538674109,-0.007797903375763126,-0.008797903375763125
rsi_sobrecompra,72,OOS,371.0,-0.007021470260388621,0.5256064690026954,-0.0030215664015688206,0.49678375355070087,-0.003999903858819801,-0.004999903858819801
rsi_sobreventa,4,IS,1202.0,0.00042241171161350665,0.5615640599001663,0.00010722209060064027,0.505739910663608,0.00031518962101286636,-0.0006848103789871337
rsi_sobreventa,4,OOS,422.0,0.0010948726377393546,0.5687203791469194,0.00015790695184506064,0.4888977474211,0.0009369656858942939,-6.303431410570608e-05
rsi_sobreventa,8,IS,1202.0,0.0002997597868115497,0.5282861896838602,0.00021363277498125962,0.5039186326092976,8.612701183029008e-05,-0.0009138729881697099
rsi_sobreventa,8,OOS,422.0,0.001363656208446758,0.556872037914692,0.0003192305636394505,0.4942848448920583,0.0010444256448073077,4.4425644807307655e-05
