asset,grp,period,cagr_strat,cagr_bh,sharpe_strat,sharpe_bh,maxdd_strat,maxdd_bh,exposure,n_trades
NKE,Accion,IS,0.09639581419559429,0.2159581234004837,0.642237481463801,0.9430804757022684,-0.2059869353405489,-0.2532803373432453,0.37798092209856915,38
NKE,Accion,OOS,-0.013910528526528187,-0.11333599166618191,0.09526431674980071,-0.15066790714499195,-0.47438052480639437,-0.7510476519675651,0.5253317249698432,25
NOW,Accion,IS,0.3122334977010397,0.3850237749364618,1.1431074793308067,1.0258376640366618,-0.4403980914978166,-0.47616396967614394,0.3935381355932203,41
NOW,Accion,OOS,0.033777695322407375,0.12822131643756518,0.2751350672580699,0.493409500346291,-0.5567395788880884,-0.6454173439572122,0.508443908323281,24
NVDA,Accion,IS,0.21516563926993548,0.3008498630282377,0.8036489418613537,0.8497826112185809,-0.547982290270359,-0.5603844002635894,0.3799682034976153,50
NVDA,Accion,OOS,0.26112682944152454,0.7402510039844872,0.7888760546586415,1.324965953873254,-0.653541060925156,-0.6633509439267359,0.4813027744270205,31
ORCL,Accion,IS,0.09007235760665289,0.09253781916934312,0.5912214610137528,0.49732690351725645,-0.2804672591025834,-0.3174623485619281,0.4447535771065183,41
ORCL,Accion,OOS,0.07156183021058737,0.18509309998579937,0.3669906913998907,0.6111219896813046,-0.5834392565894528,-0.6457813296858513,0.45235223160434257,25
OXY,Accion,IS,0.02236724245959354,-0.029396192531830456,0.21046331226547382,0.018680514117495998,-0.3825168329485569,-0.5321011790455685,0.46621621621621623,42
OXY,Accion,OOS,-0.04104207622099787,0.06361281460832546,0.14334699039317444,0.4106730249139329,-0.7244245161641683,-0.8061083955624255,0.4203860072376357,23
PEP,Accion,IS,0.06388226137694542,0.1162533506113832,0.6904737454212461,0.8459179865936108,-0.1853587174871093,-0.20441313329509814,0.37201907790143085,47
PEP,Accion,OOS,0.011875580709622247,0.03390001421002453,0.15655180849309724,0.26141403997578766,-0.26793737351704705,-0.3032267378285385,0.4577804583835947,23
PFE,Accion,IS,0.05011318306887813,0.11599551709545852,0.4400745991384253,0.6917280396459924,-0.2195327910239162,-0.278802253638317,0.40103338632750396,34
PFE,Accion,OOS,-0.004902346547415393,0.0008519648810181302,0.06854630165544812,0.1363466658539491,-0.39561360792278855,-0.5896199380665774,0.4384800965018094,22
PG,Accion,IS,0.05667494708564025,0.10861897937974452,0.6082364800804828,0.7706250177569022,-0.20220043884662076,-0.2546414079704311,0.40818759936406995,37
PG,Accion,OOS,0.04244413527531288,0.05082351750828362,0.3255795541925565,0.34296610091265267,-0.2288869978912813,-0.23772443865353066,0.5090470446320868,27
PYPL,Accion,IS,0.14872827158506152,0.271973715689398,0.8184071314200386,0.9835321218873267,-0.16740241523223698,-0.24314305604229292,0.36484098939929327,17
PYPL,Accion,OOS,-0.11581733469381905,-0.08665410754743419,-0.2051936171503279,0.017618634315297622,-0.7508061905641598,-0.8730420116279323,0.4517490952955368,20
QCOM,Accion,IS,0.02086937190014848,0.09446592297089329,0.20531270397209234,0.4591511201164707,-0.44460388634339654,-0.4507921969237978,0.4073926868044515,32
QCOM,Accion,OOS,-0.05058873174330458,0.12693629393333516,-0.015082745545310612,0.492041546783051,-0.5167583944902756,-0.44288411125436455,0.4686369119420989,18
QQQ,ETF,IS,0.1179373804298609,0.1769150457260138,0.8718986544749833,1.0311658813635713,-0.21251731504568605,-0.22796654295932584,0.40977742448330684,51
QQQ,ETF,OOS,0.06455836662661896,0.21145082379782987,0.39951504456320464,0.8924615439542124,-0.3079326486323788,-0.35118733933886526,0.46139927623642946,25
SBUX,Accion,IS,0.07305818426916688,0.24536876162779753,0.5188938879608104,1.0477824714031947,-0.2525473796182659,-0.2979982014790097,0.4161367249602544,36
SBUX,Accion,OOS,-0.05307822950257857,0.05116875932335252,-0.06381525196574718,0.3151267805094199,-0.468277022924531,-0.43682904515280296,0.47889022919179736,12
SCHW,Accion,IS,0.06015163789533062,0.105047644709656,0.3780998540334939,0.48805047226989207,-0.34110415514221093,-0.44449465943869615,0.40818759936406995,36
SCHW,Accion,OOS,0.07306348651694416,0.14777506907471216,0.3910173873213191,0.5625033310491968,-0.39929244534417063,-0.4970345853057604,0.43425814234016885,29
SLB,Accion,IS,-0.06908835415484205,-0.026847917615814842,-0.25798957926782995,0.041672050916496374,-0.6535225985794951,-0.6938509782611147,0.42090620031796505,29
SLB,Accion,OOS,0.10980742514299924,0.05964650901539681,0.4731112741113035,0.3592497570716545,-0.6108213719011311,-0.7004412074753241,0.43063932448733416,32
SOL,Cripto,OOS,-0.17226776409692768,0.6068498582817865,0.03970893650785393,0.9691756477558567,-0.9080731792933507,-0.9627249768997591,0.47858070099524014,25
T,Accion,IS,0.05412609859936235,0.10985422503021325,0.5240505700075628,0.707453473928774,-0.1340173990739777,-0.27185556110135256,0.4113672496025437,36
T,Accion,OOS,-0.022547137808292095,0.037742003397860824,-0.01266939469076179,0.2727030829868404,-0.4056432432045298,-0.39429068252436217,0.48492159227985526,20
TMO,Accion,IS,0.11909570280296311,0.21710042663958506,0.7641676587758078,0.9817705876661593,-0.29403955545951077,-0.3359768362688508,0.40222575516693165,48
TMO,Accion,OOS,0.03735311269695929,0.098980724391037,0.2753978922855696,0.4693017552932857,-0.3296249808874079,-0.40954293111356754,0.46562123039806996,23
TSLA,Accion,IS,0.17213724393212004,0.3516802725320636,0.6309354795312208,0.8410578419657352,-0.4065860224524803,-0.5351429092039182,0.46073517126148705,41
TSLA,Accion,OOS,0.10786184880448046,0.45483618347316046,0.4512558998180536,0.9009714523993205,-0.6244049915183589,-0.7363221744219124,0.4390832328106152,22
TXN,Accion,IS,0.09170186639745848,0.20261312664934827,0.5995251491216756,0.8746179772481325,-0.29446263700834996,-0.31572128731912763,0.4165341812400636,45
TXN,Accion,OOS,0.17146976291011162,0.16233435279352704,0.7478882052854968,0.6053514162345031,-0.2388339017525143,-0.33411968899961864,0.4529553679131484,33
UBER,Accion,OOS,-0.04332000423730631,0.15099968904073324,0.06599876312698302,0.5258671301227916,-0.587501797831779,-0.6761633588850023,0.41978287092882993,16
UNH,Accion,IS,0.18729039466170083,0.2695772904431939,1.1028141338462119,1.1601627287679657,-0.19718361031350062,-0.239801668462455,0.40659777424483307,55
UNH,Accion,OOS,0.10022728223985955,0.06863545055440534,0.4980687533258838,0.36972400473374095,-0.5058218494092379,-0.6139086383213774,0.4529553679131484,29
UPS,Accion,IS,0.07152678977139915,0.1051146663535627,0.6158335908117771,0.6219857996427611,-0.19240460854120056,-0.30776946862953636,0.4002384737678855,38
